Time,Source,Destination,Device,Command,Status,Argument 0,Argument 1,Argument 2,Explanations,Byte Code
,,,,,,,,,,--
6.110 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,arg[0]: 766D6772 ,arg[1]: 000003E8 ,arg[2]: 00000000 ,Host Frame sent movrel motor command to node 01.,"['0xc3', '0xaa', '0x0a', '0x00', '0x01', '0x02', '0x22', '0x72', '0x67', '0x6d', '0x76', '0xe8', '0x03', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xef', '0xbb']"
,,,,,,,,,,--
6.196 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_CommandExecuting,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,node 01 began execution of the movrel motor command from Host Frame and had CommandExecuting.,"['0x01', '0x0a', '0x00', '0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xc2', '0x51']"
,,,,,,,,,,--
6.796 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,arg[0]: 766D6772 ,arg[1]: 000003E8 ,arg[2]: 00000000 ,Host Frame sent movrel motor command to node 01.,"['0xc3', '0xaa', '0x14', '0x00', '0x01', '0x02', '0x22', '0x72', '0x67', '0x6d', '0x76', '0xe8', '0x03', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x21', '0x8f']"
,,,,,,,,,,--
6.917 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_CommandExecuting,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,node 01 began execution of the movrel motor command from Host Frame and had CommandExecuting.,"['0x01', '0x14', '0x00', '0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x66', '0xee']"
,,,,,,,,,,--
7.442 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,arg[0]: 766D6772 ,arg[1]: 000003E8 ,arg[2]: 00000000 ,Host Frame sent movrel motor command to node 01.,"['0xc3', '0xaa', '0x1e', '0x00', '0x01', '0x02', '0x22', '0x72', '0x67', '0x6d', '0x76', '0xe8', '0x03', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x9b', '0x9c']"
,,,,,,,,,,--
7.597 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_CommandExecuting,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,node 01 began execution of the movrel motor command from Host Frame and had CommandExecuting.,"['0x01', '0x1e', '0x00', '0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xfa', '0x84']"
,,,,,,,,,,--
8.108 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,arg[0]: 766D6772 ,arg[1]: 000003E8 ,arg[2]: 00000000 ,Host Frame sent movrel motor command to node 01.,"['0xc3', '0xaa', '0x28', '0x00', '0x01', '0x02', '0x22', '0x72', '0x67', '0x6d', '0x76', '0xe8', '0x03', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xbd', '0xe6']"
,,,,,,,,,,--
8.502 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_CommandExecuting,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,node 01 began execution of the movrel motor command from Host Frame and had CommandExecuting.,"['0x01', '0x28', '0x00', '0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x0f', '0x81']"
,,,,,,,,,,--
8.678 seconds,node 01 ,Host Frame,DEVICE_board,COMMAND_status_get,STATUS_Success,arg[0]: 90E20000 ,arg[1]: 66E10000 ,arg[2]: 01000000 ,node 01 began execution of the status_get board command from Host Frame and had Success.,"['0x01', '0x28', '0x00', '0x00', '0x90', '0xe2', '0x00', '0x00', '0x66', '0xe1', '0x00', '0x00', '0x01', '0x00', '0x00', '0x00', '0x6e', '0x45']"
,,,,,,,,,,--
8.694 seconds,Host Frame,node 01 ,DEVICE_board,COMMAND_status_get,--,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,Host Frame sent status_get board command to node 01.,"['0xc3', '0xaa', '0x2f', '0x00', '0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xaf', '0xac']"
,,,,,,,,,,--
8.712 seconds,node 01 ,Host Frame,DEVICE_board,COMMAND_status_get,STATUS_Success,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,node 01 began execution of the status_get board command from Host Frame and had Success.,"['0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x3d', '0x7e']"
,,,,,,,,,,--
8.976 seconds,Host Frame,node 01 ,DEVICE_board,COMMAND_status_get,--,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,Host Frame sent status_get board command to node 01.,"['0xc3', '0xaa', '0x30', '0x00', '0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xad', '0xca']"
,,,,,,,,,,--
8.991 seconds,node 01 ,Host Frame,DEVICE_board,COMMAND_status_get,STATUS_Success,arg[0]: 00000000 ,arg[1]: 00000000 ,arg[2]: 00000000 ,node 01 began execution of the status_get board command from Host Frame and had Success.,"['0x01', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x3d', '0x7e']"
,,,,,,,,,,--
