Time,Source,Destination,Device,Command,Status,Explanations,Byte Code
,,,,,,,--
6.207 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,Host Frame sent movrel motor command to node 01.,"[b'\xc3', b'\xaa', b'\x0f', b'\x00', b'\x01', b'\x02', b'""', b'r', b'g', b'm', b'v', b'\xe8', b'\x03', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'2', b'\xb2']"
6.708 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_Success,node 01 began execution of the movrel motor command from Host Frame and had Success.,"[b'\x01', b'\x02', b'\x00', b'\x00', b'\xb8', b'\x0b', b'\x00', b'\x00', b'\x99', b'\n', b'\x00', b'\x00', b'\x01', b'\x00', b'\x00', b'\x00', b'\xaf', b'\x1d']"
,,,,,,,--
7.209 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,Host Frame sent movrel motor command to node 01.,"[b'\xc3', b'\xaa', b'\x10', b'\x00', b'\x01', b'\x02', b'""', b'r', b'g', b'm', b'v', b'\xe8', b'\x03', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'0', b'\xd4']"
7.710 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_Success,node 01 began execution of the movrel motor command from Host Frame and had Success.,"[b'\x01', b'\x02', b'\x00', b'\x00', b'\xb8', b'\x0b', b'\x00', b'\x00', b'\x99', b'\n', b'\x00', b'\x00', b'\x01', b'\x00', b'\x00', b'\x00', b'\xaf', b'\x1d']"
,,,,,,,--
8.212 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--,Host Frame sent movrel motor command to node 01.,"[b'\xc3', b'\xaa', b'\x11', b'\x00', b'\x01', b'\x02', b'""', b'r', b'g', b'm', b'v', b'\xe8', b'\x03', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\x00', b'\xfc', b'\x86']"
8.712 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_Success,node 01 began execution of the movrel motor command from Host Frame and had Success.,"[b'\x01', b'\x02', b'\x00', b'\x00', b'\xb8', b'\x0b', b'\x00', b'\x00', b'\x99', b'\n', b'\x00', b'\x00', b'\x01', b'\x00', b'\x00', b'\x00', b'\xaf', b'\x1d']"
,,,,,,,--
